"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 03, 2021","31,097.97","30,627.47","31,193.40","29,881.82","2.14B","1.61%"
"Dec 27, 2020","30,606.48","30,283.23","30,637.47","30,274.24","1.25B","1.35%"
"Dec 20, 2020","30,199.87","30,159.00","30,304.14","29,755.53","1.26B","0.07%"
"Dec 13, 2020","30,179.05","30,123.91","30,343.59","29,849.15","2.28B","0.44%"
"Dec 06, 2020","30,046.37","30,233.03","30,319.70","29,820.84","1.79B","-0.57%"
"Nov 29, 2020","30,218.26","29,854.51","30,218.26","29,463.64","2.16B","1.03%"
"Nov 22, 2020","29,910.37","29,332.82","30,116.51","29,332.82","1.33B","2.21%"
"Nov 15, 2020","29,263.48","29,672.36","29,964.29","29,228.38","1.82B","-0.73%"
"Nov 08, 2020","29,479.81","29,467.90","29,933.83","28,902.13","2.31B","4.08%"
"Nov 01, 2020","28,323.40","26,691.28","28,495.05","26,691.28","1.91B","6.87%"
"Oct 25, 2020","26,501.60","28,185.82","28,185.82","26,143.77","2.22B","-6.47%"
"Oct 18, 2020","28,335.57","28,633.55","28,711.93","28,040.18","1.70B","-0.95%"
"Oct 11, 2020","28,606.31","28,671.12","28,957.90","28,181.54","2.08B","0.07%"
"Oct 04, 2020","28,586.90","27,825.42","28,676.29","27,728.03","1.73B","3.27%"
"Sep 27, 2020","27,682.81","27,362.14","28,041.46","27,338.09","1.94B","1.87%"
"Sep 20, 2020","27,173.96","27,484.71","27,484.71","26,537.01","2.25B","-1.75%"
"Sep 13, 2020","27,657.42","27,718.74","28,364.77","27,487.97","2.36B","-0.03%"
"Sep 06, 2020","27,665.64","27,925.23","28,206.21","27,447.08","1.94B","-1.66%"
"Aug 30, 2020","28,133.31","28,643.66","29,199.35","27,664.68","2.85B","-1.82%"
"Aug 23, 2020","28,653.87","28,077.58","28,733.35","28,041.75","1.83B","2.59%"
"Aug 16, 2020","27,930.33","27,970.05","27,999.81","27,526.25","1.56B","-0.00%"
"Aug 09, 2020","27,931.02","27,488.21","28,154.88","27,488.21","1.78B","1.81%"
"Aug 02, 2020","27,433.48","26,542.32","27,456.24","26,534.38","1.81B","3.80%"
"Jul 26, 2020","26,428.32","26,447.67","26,625.46","25,992.28","1.96B","-0.16%"
"Jul 19, 2020","26,469.89","26,660.29","27,035.24","26,402.86","2.01B","-0.76%"
"Jul 12, 2020","26,671.95","26,225.07","27,071.33","25,994.98","1.81B","2.29%"
"Jul 05, 2020","26,075.30","25,996.08","26,297.53","25,523.51","1.76B","0.96%"
"Jun 28, 2020","25,827.36","25,152.45","26,204.41","25,096.16","1.52B","3.25%"
"Jun 21, 2020","25,015.55","25,865.08","26,314.97","24,971.03","2.26B","-3.31%"
"Jun 14, 2020","25,871.46","25,270.39","26,611.03","24,843.18","2.30B","1.04%"
"Jun 07, 2020","25,605.54","27,232.93","27,580.21","25,078.41","2.44B","-5.55%"
"May 31, 2020","27,110.98","25,342.99","27,338.30","25,220.66","2.02B","6.81%"
"May 24, 2020","25,383.11","24,781.84","25,758.79","24,781.84","1.77B","3.75%"
"May 17, 2020","24,465.16","24,059.98","24,718.46","24,059.98","1.84B","3.29%"
"May 10, 2020","23,685.42","24,256.45","24,382.09","22,789.62","2.16B","-2.65%"
"May 03, 2020","24,331.32","23,581.55","24,349.90","23,361.16","1.82B","2.56%"
"Apr 26, 2020","23,723.69","23,866.15","24,764.77","23,645.30","2.17B","-0.22%"
"Apr 19, 2020","23,775.27","24,095.10","24,108.69","22,941.88","2.04B","-1.93%"
"Apr 12, 2020","24,242.49","23,698.93","24,264.21","23,095.35","2.34B","2.21%"
"Apr 05, 2020","23,719.37","21,693.63","24,008.99","21,693.63","2.25B","12.67%"
"Mar 29, 2020","21,052.53","21,678.22","22,480.37","20,735.02","2.62B","-2.70%"
"Mar 22, 2020","21,636.78","19,028.36","22,595.06","18,213.65","3.72B","12.84%"
"Mar 15, 2020","19,173.98","20,917.53","21,768.28","18,917.46","4.11B","-17.30%"
"Mar 08, 2020","23,185.62","24,992.36","25,020.99","21,154.46","3.82B","-10.36%"
"Mar 01, 2020","25,864.78","25,590.51","27,102.34","25,226.62","2.82B","1.79%"
"Feb 23, 2020","25,409.36","28,402.93","28,402.93","24,681.01","3.04B","-12.36%"
"Feb 16, 2020","28,992.41","29,282.78","29,409.09","28,892.70","1.11B","-1.38%"
"Feb 09, 2020","29,398.08","28,995.66","29,568.57","28,995.66","1.38B","1.02%"
"Feb 02, 2020","29,102.51","28,319.65","29,408.05","28,319.65","1.52B","3.00%"
"Jan 26, 2020","28,256.03","28,542.49","28,944.24","28,169.53","1.73B","-2.53%"
"Jan 19, 2020","28,989.73","29,269.05","29,341.21","28,843.31","1.29B","-1.22%"
"Jan 12, 2020","29,348.10","28,869.01","29,373.62","28,819.43","1.41B","1.82%"
"Jan 05, 2020","28,823.77","28,465.50","29,009.07","28,418.63","1.35B","0.66%"
"Dec 29, 2019","28,634.88","28,654.76","28,872.80","28,376.49","872.30M","-0.04%"
"Dec 22, 2019","28,645.26","28,491.78","28,701.66","28,491.78","669.66M","0.67%"
"Dec 15, 2019","28,455.09","28,191.67","28,608.64","28,191.67","1.73B","1.14%"
"Dec 08, 2019","28,135.38","27,987.05","28,290.73","27,801.80","1.19B","0.43%"
"Dec 01, 2019","28,015.06","28,109.74","28,109.84","27,325.13","1.17B","-0.13%"
"Nov 24, 2019","28,051.41","27,917.77","28,174.97","27,917.77","899.05M","0.63%"
"Nov 17, 2019","27,875.62","27,993.22","28,090.21","27,675.28","1.22B","-0.46%"
"Nov 10, 2019","28,004.89","27,580.66","28,004.89","27,517.67","1.29B","1.17%"
"Nov 03, 2019","27,681.24","27,402.06","27,774.67","27,402.06","1.30B","1.22%"
"Oct 27, 2019","27,347.36","27,040.33","27,347.43","26,918.29","1.34B","1.44%"
"Oct 20, 2019","26,958.06","26,852.67","27,015.37","26,714.34","1.29B","0.70%"
"Oct 13, 2019","26,770.20","26,766.43","27,120.11","26,749.18","1.16B","-0.17%"
"Oct 06, 2019","26,816.59","26,502.33","27,013.97","26,139.80","1.14B","0.91%"
"Sep 29, 2019","26,573.72","26,852.33","27,046.21","25,743.46","1.29B","-0.92%"
"Sep 22, 2019","26,820.25","26,851.45","27,079.68","26,704.96","1.21B","-0.43%"
"Sep 15, 2019","26,935.07","27,146.06","27,272.17","26,899.15","1.39B","-1.05%"
"Sep 08, 2019","27,219.52","26,866.23","27,306.73","26,717.05","1.38B","1.57%"
